"gene","sample","expression","organism","age","sex","infection","strain","time","tissue","mouse","ENTREZID","product","ensembl_gene_id","external_synonym","chromosome_name","gene_biotype","phenotype_description","hsapiens_homolog_associated_gene_name"
"Tmem163","GSM2545337",2057,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","72160","transmembrane protein 163","ENSMUSG00000026347","2610024A01Rik","1","protein_coding","abnormal kidney morphology","TMEM163"
"Acmsd","GSM2545337",1,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","266645","amino carboxymuconate semialdehyde decarboxylase","ENSMUSG00000026348",NA,"1","protein_coding","decreased circulating bilirubin level","ACMSD"
"Zranb3","GSM2545337",179,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","226409","zinc finger, RAN-binding domain containing 3, transcript variant 2","ENSMUSG00000036086","4933425L19Rik","1","protein_coding","decreased circulating insulin level","ZRANB3"
"Gm28800","GSM2545337",1,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","102640008","predicted gene 28800","ENSMUSG00000099760",NA,"1","lncRNA",NA,NA
"Rpl28-ps1","GSM2545337",20,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","100042670",NA,"ENSMUSG00000058603","ENSMUSG00000058603","1","processed_pseudogene",NA,NA
"Mir128-1","GSM2545337",4,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","387147","microRNA 128-1","ENSMUSG00000065520","Mirn128","1","miRNA","no abnormal phenotype detected","MIR128-1"
"Lct","GSM2545337",19,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","226413","lactase","ENSMUSG00000026354","LOC226413","1","protein_coding",NA,"LCT"
"Gm6170","GSM2545337",27,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","620659",NA,"ENSMUSG00000100078",NA,"1","processed_pseudogene",NA,NA
"Thsd7b","GSM2545337",37,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","210417","thrombospondin, type I, domain containing 7B","ENSMUSG00000042581","1700074E13Rik","1","protein_coding",NA,"THSD7B"
"Gm29428","GSM2545337",3,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","102640122",NA,"ENSMUSG00000100623",NA,"1","processed_pseudogene",NA,NA
"Cd55","GSM2545337",238,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","13136","CD55 antigen, transcript variant X2","ENSMUSG00000026399","complement-glycosylphosphatidylinositol","1","protein_coding","abnormal complement pathway","CD55"
